%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.manual_input,field.mode,field.system_status
11673000000,12,10981000000,,1,0,0,0,OFFBOARD,3
11978000000,13,11978000000,,1,1,0,0,OFFBOARD,4
12977000000,14,12977000000,,1,1,0,0,OFFBOARD,4
13976000000,15,13976000000,,1,1,0,0,OFFBOARD,4
14972000000,16,14972000000,,1,1,0,0,OFFBOARD,4
15970000000,17,15970000000,,1,1,0,0,OFFBOARD,4
16970000000,18,16970000000,,1,1,0,0,OFFBOARD,4
17969000000,19,17969000000,,1,1,0,0,OFFBOARD,4
