%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
288113000000,57107,633437732963746560,base_link,0.18642919815273828,0.011024382775130974,-0.03621459528928861,-0.9817388492440199,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.8976954221725464,0.1653971374034882,0.17990963160991666,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.17406240105628967,0.224515169858934,12.214576721191406,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
288113000000,57108,633437732967746560,base_link,0.19030464302016348,0.010757867178572343,-0.036457487577256864,-0.9809889303684656,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.9429279565811157,0.1704114377498627,0.17950727045536038,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.12064889073371887,0.1667198836803451,12.056248664855957,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
288117000000,57109,633437732971746560,base_link,0.19423255017727264,0.010503711145339519,-0.03669578585873745,-0.9802126697125919,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.9675618410110474,0.16989183425903323,0.1780920326709747,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.19221124053001404,0.18496131896972798,11.62175178527832,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
288124000000,57110,633437732975746560,base_link,0.19810268454178548,0.010266930150405309,-0.03693846741246326,-0.9794311828475029,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.9649134874343872,0.16202166676521304,0.17527540028095243,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.09584277123212814,0.17079639434814592,11.296627044677734,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
288128000000,57111,633437732983746560,base_link,0.20556104353783394,0.009815484719293015,-0.03738695202746767,-0.9778806424376356,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.9278167486190796,0.15547004342079165,0.1697195470333099,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.16844134032726288,0.17334638535976543,10.817780494689941,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
288133000000,57112,633437732987746560,base_link,0.2091595203902698,0.00958833427924355,-0.037626303980161036,-0.977110408781099,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.8688877820968628,0.14954063296318057,0.17005439102649686,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.1790163815021515,0.19466942548751962,10.65468692779541,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
288138000000,57113,633437732991746560,base_link,0.21262937559776257,0.009375187129611816,-0.03786144124800328,-0.9763541678782681,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.791558027267456,0.14290836453437808,0.16931328177452085,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.15420988202095032,0.12642174959182867,10.493037223815918,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
288142000000,57114,633437732995746560,base_link,0.21592433192064725,0.009168962599848023,-0.038089160670507605,-0.9756238051404227,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.719224214553833,0.13699142634868625,0.1664813309907913,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.1559886485338211,0.11899877339601644,10.373711585998535,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
288149000000,57115,633437733003746560,base_link,0.22200045340964453,0.00879069463446275,-0.03856124752067813,-0.9742441280544187,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.5930110216140747,0.12451511621475221,0.1650230288505554,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.1801680326461792,0.17576301097869998,10.206244468688965,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
288153000000,57116,633437733007746560,base_link,0.22478987935806527,0.008625289327481732,-0.03880232749416046,-0.9735961624054121,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-1.4771263599395752,0.11137406527996065,0.16218222677707672,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.0,0.0,0.0,1.2184696791468346e-07,0.1279105842113495,0.15113486349582797,10.157364845275879,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08,0.0,0.0,0.0,8.999999999999999e-08
