%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1759810539680458112,53983,1759810539598625088,base_link,-0.0031406418001664483,-0.01121168133627364,0.0054050883429280815,-0.0052681900560855865,-0.0021311077289283267,0.005370854865759611
1759810539680546016,53984,1759810539609625088,base_link,-0.0028573058456240934,-0.010536367228907684,0.005328936392448847,-0.0011862341780215502,0.002659343415871262,-0.0030203845817595725
1759810539680625376,53985,1759810539619625088,base_link,-0.0030068558995351886,-0.01101995700385844,0.005122279006443253,-0.0009011505753733218,-0.0004040319472551341,0.003856053575873375
1759810539680679232,53986,1759810539630625088,base_link,-0.0025941753715183116,-0.010642360520706572,0.00529156627385244,-0.00043830624781548977,-0.00030601432081311974,-0.0027768020518124104
1759810539680718144,53987,1759810539641625088,base_link,-0.0025294413904641978,-0.010690272576271654,0.005236163771217052,0.0017759769689291716,0.0014614989049732687,0.0013350034132599828
1759810539680765056,53988,1759810539651625088,base_link,-0.002823378988836587,-0.011183762217941106,0.004987467950673596,0.0005023999838158488,-0.003021818120032549,0.0001105684787034992
1759810539680807456,53989,1759810539662625856,base_link,-0.0025118083112217558,-0.010823978590609842,0.004898315402040597,-0.002942046383395791,-0.0006845854222774507,-0.0010418875608593225
1759810539685028448,53990,1759810539672625856,base_link,-0.0026791128624998016,-0.011480219301083349,0.005134369865246726,0.0030272514559328556,-0.0023607681505382065,-0.0032972833141684528
1759810539686306528,53991,1759810539683625856,base_link,-0.0026289280341730385,-0.010845534963707165,0.005539292090763362,0.004356667399406433,-0.0012288892176002266,-0.002145519945770502
1759810539698707968,53992,1759810539693625856,base_link,-0.003139363547015093,-0.011655885302175378,0.005251635987332441,-0.0011953257489949465,0.0008116351091302937,0.004221915267407894
1759810539709363008,53993,1759810539704625856,base_link,-0.002795613528805532,-0.010900665614274253,0.005270560946419486,0.0019113686867058277,0.00030721933580934963,-0.0030726215336471796
1759810539720347808,53994,1759810539714625856,base_link,-0.0029981443495944106,-0.011356494531374885,0.005296853047366769,-0.0014270981773734093,-0.0009603030048310752,0.00325801782310009
1759810539728814720,53995,1759810539725625856,base_link,-0.002756755421420456,-0.011028916822799464,0.0052845076204956105,0.0010234620422124863,-0.0011820327490568165,-0.0043447380885481834
1759810539740768064,53996,1759810539736625856,base_link,-0.002977113061207117,-0.011239875253863751,0.005305071249945214,0.0012161142658442259,-0.0018440082203596833,-0.0025045704096555706
1759810539758094880,53997,1759810539746625856,base_link,-0.0028070679898419635,-0.010984086342014875,0.004886878316737704,-0.0012510468950495124,0.0012764527928084135,0.00047264178283512576
1759810539761303392,53998,1759810539757625856,base_link,-0.003157595596889979,-0.010800151522068466,0.0051130155069254914,0.000666438601911068,-0.0005435970379039644,0.0012617851607501507
1759810539774094560,53999,1759810539768625344,base_link,-0.0033255253896944136,-0.0112160322968696,0.005050001991930942,0.00011248933151364326,0.0037002540193498135,-0.0014430403243750338
1759810539784105472,54000,1759810539778625344,base_link,-0.0029640269397182197,-0.010751851933155232,0.005288915614695164,-0.0006304163835011423,0.0008813731838017705,0.0029644304886460304
1759810539793305216,54001,1759810539789625344,base_link,-0.0032227877081518904,-0.011455268103312953,0.004990053840258372,-0.00029224599711596966,-0.0012034387327730654,0.001505306921899319
1759810539806168192,54002,1759810539799625344,base_link,-0.002808499625404791,-0.01066641492223585,0.00477094839734911,0.0004359452286735177,0.0006374718504957856,0.0010381094180047512
1759810539817045888,54003,1759810539810625344,base_link,-0.002989464186198829,-0.011338107173045663,0.004648921342691277,0.000784517964348197,0.0002893960336223247,0.001734541729092598
1759810539827061024,54004,1759810539820625344,base_link,-0.0025118032799716864,-0.010557183729945569,0.004756509468759078,-0.0008005328709259629,-0.005587103310972452,-0.0014410930452868336
1759810539837462144,54005,1759810539831625344,base_link,-0.002664087664077997,-0.011095493359622373,0.004303064049133401,0.002858133986592293,-0.00023000396322458958,0.001908445730805397
1759810539846793280,54006,1759810539841625344,base_link,-0.002242346190938713,-0.01100654258321993,0.004237425399287356,-0.0012975793797522783,0.0007085375837050373,-0.004759334027767181
1759810539855231520,54007,1759810539852625344,base_link,-0.002408204296727566,-0.011095779364929519,0.004676754169047252,-0.0029714172706007957,0.003136917483061552,0.00021083978936076126
1759810539871528992,54008,1759810539863624832,base_link,-0.002573969058537201,-0.011114592507051721,0.005158210438816345,-0.0025989171117544174,-0.000480780377984047,-0.0005750078707933425
1759810539878059136,54009,1759810539873624832,base_link,-0.002284862943950341,-0.01060205033350467,0.00557523793596149,0.0021185320802032948,-0.00028410239610820987,0.001918470486998558
1759810539888390784,54010,1759810539884624832,base_link,-0.0021576224929306122,-0.011024224935728107,0.00572303419824164,-6.715732160955667e-05,-0.0011666662758216253,0.006483405362814665
1759810539903269984,54011,1759810539895624832,base_link,-0.0018928311475396975,-0.010592786576566517,0.005552545318908649,-0.0002830509329214692,-0.0010943386005237699,-0.0007032501744106411
1759810539910086176,54012,1759810539905624832,base_link,-0.0019836085672860636,-0.011197906351277601,0.0055623020702300074,-0.0002102063735947013,-0.0005019298987463114,0.0013925081584602594
1759810539919790592,54013,1759810539916624832,base_link,-0.0019707940604616037,-0.010331316676626404,0.005746944806183453,-0.0005273459828458726,-0.0012728198198601608,-0.0026793135330080986
1759810539933246208,54014,1759810539926624832,base_link,-0.0022851940582375,-0.010673378451361529,0.005838669287051379,-0.0012430967763066292,0.0011349145788699397,0.006622148212045431
1759810539940989856,54015,1759810539937624832,base_link,-0.002171641296615582,-0.010356841100045432,0.005672484139846313,0.00010006746742874384,0.0015267170965671535,-0.0030948843341320753
1759810539951960960,54016,1759810539948624832,base_link,-0.00252512662815851,-0.010638264167267247,0.005838717457659858,0.000747745274566114,-0.004792260006070136,0.0037529785186052327
1759810539963377280,54017,1759810539958623552,base_link,-0.002634565729481315,-0.010804019453601207,0.006132533785626335,0.0016208718298003078,-0.0013486199313774705,-0.0002798548666760324
1759810539974271104,54018,1759810539969623552,base_link,-0.00269718061083236,-0.010465058010525817,0.006008264059659854,-0.0007566242711618543,-0.0009351935004815452,0.006608629133552313
1759810539983028320,54019,1759810539979623552,base_link,-0.002873072991962736,-0.010632438016695523,0.005696826247921363,-0.0003950797254219651,-0.0004902355140075092,-0.0031691270414739847
1759810539993742336,54020,1759810539990623552,base_link,-0.0026577274505635365,-0.009969009606193197,0.005758787851328797,0.0010529543505981565,-0.0051580690778791904,-0.0005315861199051135
1759810540008493728,54021,1759810540001623552,base_link,-0.0029343850820805232,-0.010561333502220153,0.0056231333662575735,-0.0018970707897096872,-6.936409045010754e-05,0.004251701757311821
1759810540016136480,54022,1759810540011623552,base_link,-0.002673812978587402,-0.00962433483517058,0.005691616799837933,-0.002427054336294532,-0.0020877784118056297,0.0010428044479340317
1759810540031298208,54023,1759810540021623552,base_link,-0.0029998900129591557,-0.010065791820214356,0.005293311965009858,0.0013627546140924096,-0.0005166139453649521,-0.00029208627529442305
1759810540037188672,54024,1759810540032623552,base_link,-0.002453459639510817,-0.009429161358558192,0.005115160179596324,0.0015864443266764283,-0.000518331653438509,-0.004478955175727606
1759810540048212640,54025,1759810540043623552,base_link,-0.00270469113380047,-0.009799090394565061,0.005116380579864894,-0.00031254254281520844,-0.001957227010279893,0.005388525314629078
