%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z,field.r,field.buttons
12646000000,317,12645000000,,0.0,0.0,0.5,0.0,0
12696000000,318,12696000000,,0.0,0.0,0.5,0.0,0
12729000000,319,12729000000,,0.0,0.0,0.5,0.0,0
12796000000,320,12796000000,,0.0,0.0,0.5,0.0,0
12810000000,321,12810000000,,0.0,0.0,0.5,0.0,0
12860000000,322,12860000000,,0.0,0.0,0.5,0.0,0
12894000000,323,12894000000,,0.0,0.0,0.5,0.0,0
12927000000,324,12927000000,,0.0,0.0,0.5,0.0,0
12978000000,325,12978000000,,0.0,0.0,0.5,0.0,0
13011000000,326,13011000000,,0.0,0.0,0.5,0.0,0
13044000000,327,13044000000,,0.0,0.0,0.5,0.0,0
13093000000,328,13093000000,,0.0,0.0,0.5,0.0,0
13126000000,329,13126000000,,0.0,0.0,0.5,0.0,0
13177000000,330,13177000000,,0.0,0.0,0.5,0.0,0
13210000000,331,13210000000,,0.0,0.0,0.5,0.0,0
13243000000,332,13243000000,,0.0,0.0,0.5,0.0,0
13293000000,333,13293000000,,0.0,0.0,0.5,0.0,0
13326000000,334,13326000000,,0.0,0.0,0.5,0.0,0
13376000000,335,13376000000,,0.0,0.0,0.5,0.0,0
13409000000,336,13409000000,,0.0,0.0,0.5,0.0,0
13444000000,337,13444000000,,0.0,0.0,0.5,0.0,0
13493000000,338,13493000000,,0.0,0.0,0.5,0.0,0
13527000000,339,13527000000,,0.0,0.0,0.5,0.0,0
13577000000,340,13577000000,,0.0,0.0,0.5,0.0,0
13627000000,341,13626000000,,0.0,0.0,0.5,0.0,0
13644000000,342,13644000000,,0.0,0.0,0.5,0.0,0
13710000000,343,13710000000,,0.0,0.0,0.5,0.0,0
13729000000,344,13729000000,,0.0,0.0,0.5,0.0,0
13794000000,345,13794000000,,0.0,0.0,0.5,0.0,0
13809000000,346,13809000000,,0.0,0.0,0.5,0.0,0
13859000000,347,13859000000,,0.0,0.0,0.5,0.0,0
13910000000,348,13910000000,,0.0,0.0,0.5,0.0,0
13943000000,349,13943000000,,0.0,0.0,0.5,0.0,0
13995000000,350,13994000000,,0.0,0.0,0.5,0.0,0
14010000000,351,14010000000,,0.0,0.0,0.5,0.0,0
14043000000,352,14043000000,,0.0,0.0,0.5,0.0,0
14094000000,353,14094000000,,0.0,0.0,0.5,0.0,0
14127000000,354,14127000000,,0.0,0.0,0.5,0.0,0
14161000000,355,14161000000,,0.0,0.0,0.5,0.0,0
14210000000,356,14210000000,,0.0,0.0,0.5,0.0,0
14243000000,357,14243000000,,0.0,0.0,0.5,0.0,0
14294000000,358,14294000000,,0.0,0.0,0.5,0.0,0
14327000000,359,14327000000,,0.0,0.0,0.5,0.0,0
14361000000,360,14360000000,,0.0,0.0,0.5,0.0,0
14409000000,361,14409000000,,0.0,0.0,0.5,0.0,0
14442000000,362,14442000000,,0.0,0.0,0.5,0.0,0
14493000000,363,14493000000,,0.0,0.0,0.5,0.0,0
14527000000,364,14527000000,,0.0,0.0,0.5,0.0,0
14561000000,365,14561000000,,0.0,0.0,0.5,0.0,0
14610000000,366,14610000000,,0.0,0.0,0.5,0.0,0
14643000000,367,14643000000,,0.0,0.0,0.5,0.0,0
14693000000,368,14693000000,,0.0,0.0,0.5,0.0,0
14726000000,369,14726000000,,0.0,0.0,0.5,0.0,0
14759000000,370,14759000000,,0.0,0.0,0.5,0.0,0
14810000000,371,14810000000,,0.0,0.0,0.5,0.0,0
14843000000,372,14843000000,,0.0,0.0,0.5,0.0,0
14894000000,373,14894000000,,0.0,0.0,0.5,0.0,0
14928000000,374,14928000000,,0.0,0.0,0.5,0.0,0
14963000000,375,14963000000,,0.0,0.0,0.5,0.0,0
15011000000,376,15011000000,,0.0,0.0,0.5,0.0,0
15044000000,377,15044000000,,0.0,0.0,0.5,0.0,0
15094000000,378,15094000000,,0.0,0.0,0.5,0.0,0
15127000000,379,15127000000,,0.0,0.0,0.5,0.0,0
15160000000,380,15160000000,,0.0,0.0,0.5,0.0,0
15211000000,381,15211000000,,0.0,0.0,0.5,0.0,0
15242000000,382,15242000000,,0.0,0.0,0.5,0.0,0
15293000000,383,15293000000,,0.0,0.0,0.5,0.0,0
15326000000,384,15325000000,,0.0,0.0,0.5,0.0,0
15360000000,385,15360000000,,0.0,0.0,0.5,0.0,0
15409000000,386,15409000000,,0.0,0.0,0.5,0.0,0
15442000000,387,15442000000,,0.0,0.0,0.5,0.0,0
15492000000,388,15492000000,,0.0,0.0,0.5,0.0,0
15526000000,389,15526000000,,0.0,0.0,0.5,0.0,0
15559000000,390,15559000000,,0.0,0.0,0.5,0.0,0
15609000000,391,15609000000,,0.0,0.0,0.5,0.0,0
15643000000,392,15643000000,,0.0,0.0,0.5,0.0,0
15692000000,393,15692000000,,0.0,0.0,0.5,0.0,0
15726000000,394,15726000000,,0.0,0.0,0.5,0.0,0
15759000000,395,15759000000,,0.0,0.0,0.5,0.0,0
15810000000,396,15810000000,,0.0,0.0,0.5,0.0,0
15843000000,397,15843000000,,0.0,0.0,0.5,0.0,0
15893000000,398,15893000000,,0.0,0.0,0.5,0.0,0
15926000000,399,15926000000,,0.0,0.0,0.5,0.0,0
15959000000,400,15959000000,,0.0,0.0,0.5,0.0,0
16010000000,401,16010000000,,0.0,0.0,0.5,0.0,0
16044000000,402,16043000000,,0.0,0.0,0.5,0.0,0
16109000000,403,16109000000,,0.0,0.0,0.5,0.0,0
16129000000,404,16128000000,,0.0,0.0,0.5,0.0,0
16178000000,405,16177000000,,0.0,0.0,0.5,0.0,0
16211000000,406,16211000000,,0.0,0.0,0.5,0.0,0
16243000000,407,16243000000,,0.0,0.0,0.5,0.0,0
16309000000,408,16309000000,,0.0,0.0,0.5,0.0,0
16326000000,409,16326000000,,0.0,0.0,0.5,0.0,0
16376000000,410,16376000000,,0.0,0.0,0.5,0.0,0
16409000000,411,16409000000,,0.0,0.0,0.5,0.0,0
16461000000,412,16461000000,,0.0,0.0,0.5,0.0,0
16510000000,413,16510000000,,0.0,0.0,0.5,0.0,0
16526000000,414,16526000000,,0.0,0.0,0.5,0.0,0
16577000000,415,16577000000,,0.0,0.0,0.5,0.0,0
16609000000,416,16609000000,,0.0,0.0,0.5,0.0,0
16642000000,417,16642000000,,0.0,0.0,0.5,0.0,0
16708000000,418,16708000000,,0.0,0.0,0.5,0.0,0
16743000000,419,16743000000,,0.0,0.0,0.5,0.0,0
16777000000,420,16776000000,,0.0,0.0,0.5,0.0,0
16827000000,421,16827000000,,0.0,0.0,0.5,0.0,0
16860000000,422,16860000000,,0.0,0.0,0.5,0.0,0
16908000000,423,16908000000,,0.0,0.0,0.5,0.0,0
16927000000,424,16927000000,,0.0,0.0,0.5,0.0,0
16977000000,425,16977000000,,0.0,0.0,0.5,0.0,0
17026000000,426,17026000000,,0.0,0.0,0.5,0.0,0
17059000000,427,17059000000,,0.0,0.0,0.5,0.0,0
17110000000,428,17110000000,,0.0,0.0,0.5,0.0,0
17125000000,429,17125000000,,0.0,0.0,0.5,0.0,0
17177000000,430,17177000000,,0.0,0.0,0.5,0.0,0
17225000000,431,17225000000,,0.0,0.0,0.5,0.0,0
17258000000,432,17258000000,,0.0,0.0,0.5,0.0,0
17308000000,433,17308000000,,0.0,0.0,0.5,0.0,0
17326000000,434,17326000000,,0.0,0.0,0.5,0.0,0
17376000000,435,17376000000,,0.0,0.0,0.5,0.0,0
17409000000,436,17409000000,,0.0,0.0,0.5,0.0,0
17460000000,437,17460000000,,0.0,0.0,0.5,0.0,0
17509000000,438,17509000000,,0.0,0.0,0.5,0.0,0
17526000000,439,17526000000,,0.0,0.0,0.5,0.0,0
17577000000,440,17577000000,,0.0,0.0,0.5,0.0,0
17626000000,441,17626000000,,0.0,0.0,0.5,0.0,0
17659000000,442,17659000000,,0.0,0.0,0.5,0.0,0
17709000000,443,17709000000,,0.0,0.0,0.5,0.0,0
17726000000,444,17726000000,,0.0,0.0,0.5,0.0,0
17776000000,445,17776000000,,0.0,0.0,0.5,0.0,0
17827000000,446,17826000000,,0.0,0.0,0.5,0.0,0
17859000000,447,17859000000,,0.0,0.0,0.5,0.0,0
17894000000,448,17894000000,,0.0,0.0,0.5,0.0,0
17926000000,449,17926000000,,0.0,0.0,0.5,0.0,0
17959000000,450,17959000000,,0.0,0.0,0.5,0.0,0
18026000000,451,18026000000,,0.0,0.0,0.5,0.0,0
18060000000,452,18060000000,,0.0,0.0,0.5,0.0,0
18108000000,453,18108000000,,0.0,0.0,0.5,0.0,0
