%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1758875467521978768,44907,1758875467516606464,base_link,-0.0016740343138481185,0.0012148099511832258,0.0017867608080256456,0.004361674189567566,0.0007587883155792954,0.002167013706639409
1758875467530569168,44908,1758875467525606464,base_link,-0.0016511171392682897,0.0014130580660310233,0.0019774662170474336,-0.0022550898138433695,-0.0016339656431227927,-0.0028238908853381872
1758875467539982224,44909,1758875467536606464,base_link,-0.001921468728747417,0.0011821178135050475,0.0017705692077919926,0.00018560164608061314,-0.0027765529230237003,0.002326667774468661
1758875467552448688,44910,1758875467549606464,base_link,-0.0019281162867616569,0.0015855804961058242,0.0015936886767087346,-0.0014096000231802464,-0.001477525569498539,-0.0005642302567139266
1758875467565663888,44911,1758875467562603392,base_link,-0.0021277209086515932,0.0014285014727679804,0.0014609328753715494,-0.001034300308674574,0.0007017946336418392,0.002015657490119338
1758875467575850672,44912,1758875467573603392,base_link,-0.0020506943367280435,0.0014497686452399747,0.0017307489594608815,-0.0004271510988473892,0.00024199089966714388,0.0003971245605498552
1758875467591528304,44913,1758875467586603392,base_link,-0.0020412994399255976,0.0015317265103376233,0.0015786121351415582,0.004303012043237686,0.00034419959411025074,0.0022098044864833355
1758875467609808720,44914,1758875467592603392,base_link,-0.0021684746461084997,0.0014599547918095139,0.001532048338348988,-0.00032237148843705654,0.00012690504081547255,-0.00042094255331903696
1758875467609815696,44915,1758875467603603392,base_link,-0.0023902018787258254,0.0016953951862769517,0.001618924055492828,0.0051049403846263885,0.00023648445494473024,0.003629900049418211
1758875467619498832,44916,1758875467612603392,base_link,-0.00242493320724854,0.0013892255472006333,0.0014082834926405121,-0.002249498851597309,0.0013004872016608715,-0.0005688491510227324
1758875467633522672,44917,1758875467622603392,base_link,-0.002441373944762766,0.0017481252499394423,0.0015586223181033752,-0.00030435784719884396,-0.002089675050228834,-0.0003835663665086028
1758875467646315280,44918,1758875467639603392,base_link,-0.0028311174983651757,0.0012657019910909519,0.0015367416434371845,-0.0020787911489605904,-0.0012126802466809752,-0.0022208779118955135
1758875467656167344,44919,1758875467645603392,base_link,-0.002801660013840215,0.0012878252482780748,0.001322054349791139,-7.78611283749342e-05,-0.0005577914416790009,0.0003760111867450178
1758875467663683536,44920,1758875467658604928,base_link,-0.0030668357461460815,0.0012609357499467535,0.001481176826605979,-0.0012939851731061935,-0.0012342738918960094,-0.00018841121345758422
1758875467674378032,44921,1758875467668604928,base_link,-0.0030856031092631924,0.0010808548294103462,0.0013198907450864327,0.0017374089220538735,0.001557777402922511,-0.000395743874832988
1758875467681114992,44922,1758875467675604928,base_link,-0.0030679712420253104,0.0011893646656510534,0.0012475733951272361,-0.001162965316325426,-0.0009243008680641649,0.00149202102329582
1758875467690974608,44923,1758875467688604928,base_link,-0.0030523336132416003,0.0007412885982231973,0.0013202177389622166,-0.0006831791251897812,0.002735197311267257,0.0021464347373694177
1758875467699890032,44924,1758875467694604928,base_link,-0.003056626608259252,0.0008155454001022117,0.0011729369627868384,-0.0006831791251897812,0.002735197311267257,0.0021464347373694177
