%time,field.header.seq,field.header.stamp,field.header.frame_id,field.group_mix,field.controls0,field.controls1,field.controls2,field.controls3,field.controls4,field.controls5,field.controls6,field.controls7
31161000000,4389,0,,0,0.08132860064506531,-0.17348510026931763,0.12325017154216766,1.0,0.0,0.0,0.0,0.0
31163000000,4390,0,,0,0.13703909516334534,-0.21329407393932343,0.09588850289583206,1.0,0.0,0.0,0.0,0.0
31165000000,4391,0,,0,0.18430937826633453,-0.23929812014102936,0.06710387021303177,1.0,0.0,0.0,0.0,0.0
31167000000,4392,0,,0,0.22022810578346252,-0.2498141974210739,0.03732343390583992,1.0,0.0,0.0,0.0,0.0
31169000000,4393,0,,0,0.2425830364227295,-0.2441616654396057,0.006989133078604937,1.0,0.0,0.0,0.0,0.0
31171000000,4394,0,,0,0.2499973326921463,-0.2227063775062561,-0.02344888634979725,1.0,0.0,0.0,0.0,0.0
31173000000,4395,0,,0,0.24201436340808868,-0.18683697283267975,-0.05353892967104912,1.0,0.0,0.0,0.0,0.0
31175000000,4396,0,,0,0.21912579238414764,-0.13887500762939453,-0.08283447474241257,1.0,0.0,0.0,0.0,0.0
31177000000,4397,0,,0,0.18274131417274475,-0.08192469924688339,-0.11090077459812164,1.0,0.0,0.0,0.0,0.0
31179000000,4398,0,,0,0.13510185480117798,-0.019672023132443428,-0.137321338057518,1.0,0.0,0.0,0.0,0.0
31181000000,4399,0,,0,0.07914149761199951,0.04385387524962425,-0.16170409321784973,1.0,0.0,0.0,0.0,0.0
31183000000,4400,0,,0,0.018306836485862732,0.10454144328832626,-0.1836872100830078,1.0,0.0,0.0,0.0,0.0
31185000000,4401,0,,0,-0.043655335903167725,0.15846282243728638,-0.20294447243213654,1.0,0.0,0.0,0.0,0.0
31187000000,4402,0,,0,-0.10292878746986389,0.2021280974149704,-0.2191900759935379,1.0,0.0,0.0,0.0,0.0
31189000000,4403,0,,0,-0.15586288273334503,0.23271112143993378,-0.23218297958374023,1.0,0.0,0.0,0.0,0.0
31191000000,4404,0,,0,-0.1991974264383316,0.24823249876499176,-0.24173034727573395,1.0,0.0,0.0,0.0,0.0
31193000000,4405,0,,0,-0.23026344180107117,0.24768765270709991,-0.24769051373004913,1.0,0.0,0.0,0.0,0.0
31195000000,4406,0,,0,-0.2471475899219513,0.2311118245124817,-0.24997501075267792,1.0,0.0,0.0,0.0,0.0
31197000000,4407,0,,0,-0.24880999326705933,0.19957786798477173,-0.24854996800422668,1.0,0.0,0.0,0.0,0.0
31199000000,4408,0,,0,-0.23514823615550995,0.15512672066688538,-0.24343650043010712,1.0,0.0,0.0,0.0,0.0
31201000000,4409,0,,0,-0.20700377225875854,0.10063539445400238,-0.23471051454544067,1.0,0.0,0.0,0.0,0.0
31203000000,4410,0,,0,-0.16610999405384064,0.03963068500161171,-0.2225015014410019,1.0,0.0,0.0,0.0,0.0
31205000000,4411,0,,0,-0.11498554795980453,-0.023939020931720734,-0.20699061453342438,1.0,0.0,0.0,0.0,0.0
31207000000,4412,0,,0,-0.0567791648209095,-0.08595933765172958,-0.18840806186199188,1.0,0.0,0.0,0.0,0.0
31209000000,4413,0,,0,0.004924229811877012,-0.14241614937782288,-0.16702957451343536,1.0,0.0,0.0,0.0,0.0
31211000000,4414,0,,0,0.06632434576749802,-0.18965542316436768,-0.14317242801189423,1.0,0.0,0.0,0.0,0.0
31213000000,4415,0,,0,0.1236395537853241,-0.22461971640586853,-0.1171906366944313,1.0,0.0,0.0,0.0,0.0
31215000000,4416,0,,0,0.17333984375,-0.24504606425762177,-0.08946976810693741,1.0,0.0,0.0,0.0,0.0
31217000000,4417,0,,0,0.21236416697502136,-0.24961242079734802,-0.06042119860649109,1.0,0.0,0.0,0.0,0.0
31219000000,4418,0,,0,0.23830904066562653,-0.23802322149276733,-0.030475998297333717,1.0,0.0,0.0,0.0,0.0
31221000000,4419,0,,0,0.24957652390003204,-0.2110285609960556,-7.853981514927e-05,1.0,0.0,0.0,0.0,0.0
31223000000,4420,0,,0,0.24547263979911804,-0.17037561535835266,0.03032008372247219,1.0,0.0,0.0,0.0,0.0
31225000000,4421,0,,0,0.22625017166137695,-0.11869551986455917,0.060268763452768326,1.0,0.0,0.0,0.0,0.0
31227000000,4422,0,,0,0.19309301674365997,-0.05933314934372902,0.08932307362556458,1.0,0.0,0.0,0.0,0.0
31229000000,4423,0,,0,0.14804330468177795,0.003869409440085292,0.117051862180233,1.0,0.0,0.0,0.0,0.0
31231000000,4424,0,,0,0.09387563914060593,0.06682153046131134,0.1430436223745346,1.0,0.0,0.0,0.0,0.0
31233000000,4425,0,,0,0.03392620012164116,0.1254487931728363,0.16691266000270844,1.0,0.0,0.0,0.0,0.0
31235000000,4426,0,,0,-0.02811274491250515,0.17595669627189636,0.18830476701259613,1.0,0.0,0.0,0.0,0.0
31237000000,4427,0,,0,-0.08842023462057114,0.2150762379169464,0.20690248906612396,1.0,0.0,0.0,0.0,0.0
31239000000,4428,0,,0,-0.1432819366455078,0.24027550220489502,0.22242982685565948,1.0,0.0,0.0,0.0,0.0
31241000000,4429,0,,0,-0.1893189549446106,0.24992352724075317,0.23465637862682343,1.0,0.0,0.0,0.0,0.0
31243000000,4430,0,,0,-0.22369585931301117,0.2433958798646927,0.2434007078409195,1.0,0.0,0.0,0.0,0.0
31245000000,4431,0,,0,-0.2442953884601593,0.22111503779888153,0.24853302538394928,1.0,0.0,0.0,0.0,0.0
31247000000,4432,0,,0,-0.24984882771968842,0.1845230758190155,0.24997718632221222,1.0,0.0,0.0,0.0,0.0
31249000000,4433,0,,0,-0.24001415073871613,0.13598830997943878,0.24771176278591156,1.0,0.0,0.0,0.0,0.0
31251000000,4434,0,,0,-0.21539704501628876,0.0786520466208458,0.24177037179470062,1.0,0.0,0.0,0.0,0.0
31253000000,4435,0,,0,-0.1775137037038803,0.016225216910243034,0.2322411686182022,1.0,0.0,0.0,0.0,0.0
31255000000,4436,0,,0,-0.12869733572006226,-0.04725174605846405,0.21926558017730713,1.0,0.0,0.0,0.0,0.0
31257000000,4437,0,,0,-0.07195453345775604,-0.10767045617103577,0.20303615927696228,1.0,0.0,0.0,0.0,0.0
31259000000,4438,0,,0,-0.010780070908367634,-0.1611204594373703,0.18379373848438263,1.0,0.0,0.0,0.0,0.0
31261000000,4439,0,,0,0.0510583370923996,-0.20414234697818756,0.16182386875152588,1.0,0.0,0.0,0.0,0.0
31263000000,4440,0,,0,0.10975207388401031,-0.2339516282081604,0.13745257258415222,1.0,0.0,0.0,0.0,0.0
31265000000,4441,0,,0,0.16168621182441711,-0.2486189752817154,0.11104153096675873,1.0,0.0,0.0,0.0,0.0
31267000000,4442,0,,0,0.20366212725639343,-0.2471950650215149,0.08298265933990479,1.0,0.0,0.0,0.0,0.0
31269000000,4443,0,,0,0.23309455811977386,-0.22977207601070404,0.05369235575199127,1.0,0.0,0.0,0.0,0.0
31271000000,4444,0,,0,0.24817074835300446,-0.19747765362262726,0.023605268448591232,1.0,0.0,0.0,0.0,0.0
31273000000,4445,0,,0,0.24796216189861298,-0.15240198373794556,-0.006832113489508629,1.0,0.0,0.0,0.0,0.0
31275000000,4446,0,,0,0.23248164355754852,-0.0974624827504158,-0.03716810792684555,1.0,0.0,0.0,0.0,0.0
31277000000,4447,0,,0,0.20268265902996063,-0.03621495142579079,-0.06695254147052765,1.0,0.0,0.0,0.0,0.0
31279000000,4448,0,,0,0.16040048003196716,0.02737649716436863,-0.09574341773986816,1.0,0.0,0.0,0.0,0.0
31281000000,4449,0,,0,0.10823929309844971,0.08919607102870941,-0.1231134831905365,1.0,0.0,0.0,0.0,0.0
31283000000,4450,0,,0,0.04941166937351227,0.14524264633655548,-0.14865659177303314,1.0,0.0,0.0,0.0,0.0
31285000000,4451,0,,0,-0.012459207326173782,0.19188876450061798,-0.1719936728477478,1.0,0.0,0.0,0.0,0.0
31287000000,4452,0,,0,-0.07356272637844086,0.22611534595489502,-0.19277840852737427,1.0,0.0,0.0,0.0,0.0
31289000000,4453,0,,0,-0.13013553619384766,0.2457071840763092,-0.21070238947868347,1.0,0.0,0.0,0.0,0.0
31291000000,4454,0,,0,-0.17869332432746887,0.2493962198495865,-0.22549958527088165,1.0,0.0,0.0,0.0,0.0
31293000000,4455,0,,0,-0.21624544262886047,0.23694372177124023,-0.23695045709609985,1.0,0.0,0.0,0.0,0.0
31295000000,4456,0,,0,-0.24047905206680298,0.2091556191444397,-0.24488504230976105,1.0,0.0,0.0,0.0,0.0
31297000000,4457,0,,0,-0.24990162253379822,0.1678304374217987,-0.24918559193611145,1.0,0.0,0.0,0.0,0.0
31299000000,4458,0,,0,-0.2439328283071518,0.11564285308122635,-0.2497883141040802,1.0,0.0,0.0,0.0,0.0
31301000000,4459,0,,0,-0.22294025123119354,0.05597057193517685,-0.2466842532157898,1.0,0.0,0.0,0.0,0.0
31303000000,4460,0,,0,-0.18821685016155243,-0.007324267644435167,-0.23991945385932922,1.0,0.0,0.0,0.0,0.0
