%time,field.header.seq,field.header.stamp,field.header.frame_id,field.group_mix,field.controls0,field.controls1,field.controls2,field.controls3,field.controls4,field.controls5,field.controls6,field.controls7
1758793484169423832,1328,0,,0,-0.03486330062150955,-0.04203714430332184,-0.04831250011920929,0.550000011920929,0.0,0.0,0.0,0.0
1758793484170624344,1329,0,,0,-0.04383343830704689,-0.046466387808322906,-0.05320362374186516,0.550000011920929,0.0,0.0,0.0,0.0
1758793484173528152,1330,0,,0,-0.05037440359592438,-0.047801051288843155,-0.05752858519554138,0.550000011920929,0.0,0.0,0.0,0.0
1758793484174699576,1331,0,,0,-0.054598789662122726,-0.04599913954734802,-0.06263355165719986,0.550000011920929,0.0,0.0,0.0,0.0
1758793484176653688,1332,0,,0,-0.055564772337675095,-0.04121842980384827,-0.06586705148220062,0.550000011920929,0.0,0.0,0.0,0.0
1758793484178771256,1333,0,,0,-0.053522784262895584,-0.03346363827586174,-0.06859969347715378,0.550000011920929,0.0,0.0,0.0,0.0
1758793484180962424,1334,0,,0,-0.047740861773490906,-0.023231390863656998,-0.07168769836425781,0.550000011920929,0.0,0.0,0.0,0.0
1758793484183315128,1335,0,,0,-0.040161896497011185,-0.011684915982186794,-0.07297783344984055,0.550000011920929,0.0,0.0,0.0,0.0
1758793484185444056,1336,0,,0,-0.02908428944647312,0.0023650641087442636,-0.07357549667358398,0.550000011920929,0.0,0.0,0.0,0.0
1758793484188097112,1337,0,,0,-0.013872192241251469,0.01866726204752922,-0.07310493290424347,0.550000011920929,0.0,0.0,0.0,0.0
1758793484190860632,1338,0,,0,0.0048174988478422165,0.03527826443314552,-0.06891199201345444,0.550000011920929,0.0,0.0,0.0,0.0
1758793484193333656,1339,0,,0,0.01910918951034546,0.04515685886144638,-0.0659925565123558,0.550000011920929,0.0,0.0,0.0,0.0
1758793484194090648,1340,0,,0,0.02446068823337555,0.04806602746248245,-0.06447957456111908,0.550000011920929,0.0,0.0,0.0,0.0
1758793484195110488,1341,0,,0,0.02818753384053707,0.049744732677936554,-0.06322561204433441,0.550000011920929,0.0,0.0,0.0,0.0
1758793484196786040,1342,0,,0,0.03622300550341606,0.05190298333764076,-0.05961741879582405,0.550000011920929,0.0,0.0,0.0,0.0
1758793484198888504,1343,0,,0,0.042127858847379684,0.05085662752389908,-0.05743729695677757,0.550000011920929,0.0,0.0,0.0,0.0
1758793484200938872,1344,0,,0,0.044936589896678925,0.046760834753513336,-0.052728112787008286,0.550000011920929,0.0,0.0,0.0,0.0
1758793484203893720,1345,0,,0,0.04467790201306343,0.03973102569580078,-0.04756525531411171,0.550000011920929,0.0,0.0,0.0,0.0
