%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1758793484060860728,91960,1758793484050250304,base_link,-0.001829720800742507,0.0001342350587947294,-0.0001814610295696184,0.0007038123370436962,-0.0002225181090078999,-0.0011812153299096426
1758793484060869144,91961,1758793484056250304,base_link,-0.0019371833186596632,-0.0002411296300124377,-0.0001808910456020385,0.0035475221559693165,0.00015910152175802294,0.0007848330575040446
1758793484071340728,91962,1758793484067250304,base_link,-0.0020612715743482113,6.96614442858845e-05,-0.0003178173501510173,0.0013607475823882535,0.0013220567405232738,-0.0005233990212793735
1758793484084288024,91963,1758793484080250304,base_link,-0.0022033441346138716,-6.950413808226585e-05,-0.0005006318097002804,-0.00039244895007758274,0.0011643006708958613,0.0012364888393464686
1758793484090241848,91964,1758793484086250304,base_link,-0.0020490698516368866,-5.061997217126191e-05,-0.0003114560677204281,-0.001300930877852954,-0.002202860397570374,-0.00028562963577267997
1758793484099308824,91965,1758793484097250304,base_link,-0.002350942697376013,-2.104802115354687e-05,-0.00013301112630870193,0.0009570817358264093,-0.0006876751812885262,0.0017306220193296523
1758793484112040696,91966,1758793484106255680,base_link,-0.0023109535686671734,0.00014377757906913757,-0.00026527498266659677,-0.003361094297012271,-0.0020466887106035166,-0.0009360220525869809
1758793484119237880,91967,1758793484116255680,base_link,-0.0024618874303996563,0.000571380543988198,1.8499977159081027e-05,-0.002966739982828713,-0.0012388790811332282,-0.0005957384279998929
1758793484129319832,91968,1758793484127255680,base_link,-0.0023929618764668703,0.00039680409827269614,-0.00020481612591538578,-0.0007740629584502761,0.0005125054172731957,-9.09834417350503e-05
1758793484137306968,91969,1758793484135255680,base_link,-0.0023615348618477583,0.000441511336248368,-0.00024806015426293015,-0.00042941601000638625,-0.00035868346983860356,0.0001252199816728054
1758793484151321144,91970,1758793484146255680,base_link,-0.0022935166489332914,4.297294435673393e-05,-0.0003319902461953461,0.004459139206320241,-0.0019799614410637495,0.003692627983168833
1758793484162235736,91971,1758793484159255680,base_link,-0.0021019137930125,0.0002440279786242172,-0.00041367491940036416,-0.0014610399958446998,0.0011411609941176094,-0.001125096767424275
1758793484173291352,91972,1758793484170255680,base_link,-0.002256026491522789,0.00021136587020009756,-0.0005212596734054387,0.0021822033848266334,5.732970322235367e-05,0.0023262473917020055
1758793484178464536,91973,1758793484176255680,base_link,-0.0019044263754040003,0.0005715477163903415,-0.0009195373859256506,0.004273141277303823,0.00012158982214309169,-0.0007169286962793629
1758793484195240632,91974,1758793484189255680,base_link,-0.0019130563596263528,0.0005532130599021912,-0.0011286366498097777,6.206522883304173e-05,-0.0011824573236262229,0.002284378551847763
1758793484203979288,91975,1758793484195255680,base_link,-0.001959164161235094,0.000721318123396486,-0.0011231886455789208,-0.00045703908159220203,-0.0005715353493337881,-0.002967129726667112
1758793484215196632,91976,1758793484206255936,base_link,-0.002138526178896427,0.00073072942905128,-0.0009925129124894738,-0.004677938542366578,-0.00043494283865841134,0.00033622919349217303
1758793484223604888,91977,1758793484219255936,base_link,-0.002252296544611454,0.0007034316658973694,-0.0010803942568600178,0.001967781532525621,0.00040044104338868134,-0.0005708447468050314
1758793484228686168,91978,1758793484225255936,base_link,-0.0026619003619998693,0.0008137900731526315,-0.0012953919358551502,0.00013106880395771846,-0.0002610666493413294,-0.0015756251074880332
