%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1759808518124966912,34098,1759808518077862240,base_link,0.0023636985570192337,-0.003953723702579737,0.0008666888461448252,4.076260992437308e-05,-0.00010851771777393639,0.0005740843101496597
1759808518125084864,34099,1759808518086756032,base_link,0.002429353538900614,-0.003931467421352863,0.0010846176883205771,-0.0009398165109892764,-0.0009050755866102544,9.55053692409193e-07
1759808518125246528,34100,1759808518093247488,base_link,0.0024811853654682636,-0.0037707374431192875,0.0014117115642875433,0.003102241131071466,-0.00010991371759558924,-0.0002782157904426118
1759808518125284768,34101,1759808518099198688,base_link,0.002287546405568719,-0.003909788094460964,0.0014850841835141182,0.0035699095579968354,0.0012046928909239096,0.002610133973642119
1759808518125353344,34102,1759808518107848288,base_link,0.0020511599723249674,-0.004114468581974506,0.00165162468329072,0.003050628164174961,-0.0003520072492780963,0.002652442748662992
1759808518125406432,34103,1759808518113747712,base_link,0.0021277451887726784,-0.004123383201658726,0.0017067898297682405,2.624552763290431e-05,0.0017338015568279007,-0.0024063500854988925
1759808518128355840,34104,1759808518122811712,base_link,0.0022916642483323812,-0.004155577626079321,0.0016704222653061152,0.002556141814275064,0.0004055354059060747,0.000490925076759865
1759808518133927872,34105,1759808518132150496,base_link,0.002118718111887574,-0.004090433940291405,0.0014835856854915619,-0.0005513577183270218,0.00012064008854892236,0.0018995964329091859
1759808518138693472,34106,1759808518137878848,base_link,0.002149159787222743,-0.00394937489181757,0.001531542744487524,-0.00026232079739574635,-0.001633004267559994,-0.002899188956144715
1759808518144226208,34107,1759808518143968576,base_link,0.002070515649393201,-0.00373360188677907,0.0016396513674408197,-0.0014402386983140745,-0.003009458895107257,-0.002248770409911133
1759808518153417408,34108,1759808518152842368,base_link,0.001956833293661475,-0.004133481066673994,0.0017085771542042494,-0.0008810222811111453,0.003042245553390782,0.0016384256386783795
1759808518160282080,34109,1759808518159746400,base_link,0.002135866554453969,-0.0042343237437307835,0.0017075194045901299,-0.0024154903923343106,0.0008095701950200233,0.0002942484517725895
1759808518167223392,34110,1759808518166885728,base_link,0.0022026733495295048,-0.004017672501504421,0.001357949455268681,-0.002557705994085349,-0.00017887398187411345,-0.0005710027306060739
1759808518172078144,34111,1759808518171773216,base_link,0.002350511262193322,-0.003967630211263895,0.0013250415213406086,0.0008016403168122567,-0.0011726593151140032,-0.0016340152076677595
1759808518182659200,34112,1759808518181841600,base_link,0.0021699294447898865,-0.004111303947865963,0.0013818456791341305,-0.00224007731110024,-0.0012678099263856125,0.004618192397578196
1759808518192168992,34113,1759808518191874816,base_link,0.0021904848981648684,-0.004137764684855938,0.0011739965993911028,-0.0003024735671725374,-0.0012052572289227904,-0.0005898879907340639
1759808518199108384,34114,1759808518198868288,base_link,0.002099385717883706,-0.004243280738592148,0.0009005581378005445,0.00032373389907826067,0.0008071776112266636,0.0008030651542372492
1759808518209944800,34115,1759808518206961184,base_link,0.0018963072216138244,-0.004407240077853203,0.0007400037720799446,0.001698932450051004,0.00014044226842689622,0.002494914719872847
