%time,field.header.seq,field.header.stamp,field.header.frame_id,field.group_mix,field.controls0,field.controls1,field.controls2,field.controls3,field.controls4,field.controls5,field.controls6,field.controls7
1759809522748365440,3358,0,,0,-0.05053555965423584,0.04124325513839722,-0.0431104376912117,0.36000001430511475,0.0,0.0,0.0,0.0
1759809522749734400,3359,0,,0,-0.05053555965423584,0.04124325513839722,-0.0431104376912117,0.36000001430511475,0.0,0.0,0.0,0.0
1759809522751456928,3360,0,,0,-0.049737777560949326,0.04148877039551735,-0.03414395824074745,0.36000001430511475,0.0,0.0,0.0,0.0
1759809522753713664,3361,0,,0,-0.049737777560949326,0.04148877039551735,-0.03414395824074745,0.36000001430511475,0.0,0.0,0.0,0.0
1759809522755457824,3362,0,,0,-0.049737777560949326,0.04148877039551735,-0.03414395824074745,0.36000001430511475,0.0,0.0,0.0,0.0
1759809522757593088,3363,0,,0,-0.049737777560949326,0.04148877039551735,-0.03414395824074745,0.36000001430511475,0.0,0.0,0.0,0.0
1759809522759458784,3364,0,,0,-0.049737777560949326,0.04148877039551735,-0.03414395824074745,0.36000001430511475,0.0,0.0,0.0,0.0
1759809522761571200,3365,0,,0,-0.049737777560949326,0.04148877039551735,-0.03414395824074745,0.36000001430511475,0.0,0.0,0.0,0.0
1759809522764601056,3366,0,,0,-0.04973078519105911,0.04152059555053711,-0.03409848362207413,0.36000001430511475,0.0,0.0,0.0,0.0
1759809522774827776,3367,0,,0,-0.04973078519105911,0.04152059555053711,-0.03409848362207413,0.36000001430511475,0.0,0.0,0.0,0.0
1759809522775306048,3368,0,,0,-0.050618093460798264,0.04116636514663696,-0.036545366048812866,0.36000001430511475,0.0,0.0,0.0,0.0
1759809522777607072,3369,0,,0,-0.050618093460798264,0.04116636514663696,-0.036545366048812866,0.36000001430511475,0.0,0.0,0.0,0.0
1759809522779221536,3370,0,,0,-0.050752971321344376,0.043033722788095474,-0.042682476341724396,0.36000001430511475,0.0,0.0,0.0,0.0
